Year,High,Low,Close,Open,Volume,Ticker
1994,26.77336704383917,26.56190227170853,26.6713354776776,26.680011089987314,402239.68253968254,SPY
1995,32.317564072971166,32.08713559094803,32.22796470399887,32.197061471844194,313794.84126984124,SPY
1996,40.92495801882981,40.4667927006054,40.716814611840434,40.71318276070992,902811.811023622,SPY
1997,54.38543101247045,53.51877192200563,53.975965492339,53.97844909284147,3187592.490118577,SPY
1998,68.5560540364849,67.40718816825843,68.02734299311562,68.02805843885298,7433581.746031746,SPY
1999,84.88175673002551,83.51184089082983,84.2245585123698,84.28559094788896,7238961.904761905,SPY
2000,92.39171384309772,90.65349390496837,91.48532158987862,91.60563934554116,7664991.26984127,SPY
2001,78.16476093783075,76.74460174230039,77.48792945185015,77.48536204030808,13793258.064516129,SPY
2002,66.10154802153983,64.75476728995477,65.41727517143129,65.45900385938718,33795506.746031746,SPY
2003,65.09323692268954,64.15598974056792,64.66878091721307,64.6230696806881,40885770.23809524,SPY
2004,77.28664043089913,76.53229996894068,76.92075211661202,76.90824695596295,42835263.0952381,SPY
2005,83.90283473988634,83.13638811495983,83.51022232903375,83.54339185762993,61146744.44444445,SPY
2006,92.6513157297369,91.8395544994658,92.26788758661642,92.2473549135843,70041163.74501993,SPY
2007,106.47937886439871,105.20968709095848,105.87041120795139,105.90945865280882,156628316.73306772,SPY
2008,90.31438863362862,87.99656891321088,89.1344355104469,89.24166239008126,300240444.2687747,SPY
2009,71.90019186221501,70.51580100673524,71.24692063104538,71.19990367637033,246279832.14285713,SPY
2010,87.87522405002684,86.71382963182464,87.36631435818143,87.34133867943477,209692210.31746033,SPY
2011,99.72799270583879,98.2335277736876,99.00873928978329,99.02051071623511,218219975.7936508,SPY
2012,110.53960145941906,109.44033630890732,110.04611386108398,110.00712628986211,143330936.8,SPY
2013,134.4346180897796,133.3246881020947,133.94913761199467,133.87201681025854,121538802.38095239,SPY
2014,161.10342330914222,159.72629896067073,160.45830929468548,160.4433724903454,109802982.53968254,SPY
2015,175.4702114345411,173.60931137398578,174.58978961762926,174.59589445526584,123620206.74603175,SPY
2016,181.91599629790423,180.25726390672656,181.19731642707947,181.09396732731437,104724339.28571428,SPY
2017,216.54012101714193,215.3902931928311,216.05762837322584,216.0120960684169,70457158.16733068,SPY
2018,248.2029543177408,245.21879474456864,246.69243466806603,246.8691008726741,97164470.91633466,SPY
2019,267.8164508448306,265.52057081184597,266.84654526483445,266.7174241762304,70042490.07936507,SPY
2020,302.90097583326025,297.7077459808513,300.3792760796226,300.3575515352879,100359315.41501977,SPY
2021,406.64668414895425,402.74497541515035,404.9318290589348,404.7845998496073,73795232.53968254,SPY
2022,397.1555356865583,389.9488294781412,393.6551235244569,393.75456393117344,94759609.96015936,SPY
2023,420.28896052577534,415.9593824591383,418.3277905273437,418.03970351117425,81923891.6,SPY
